City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Eenhana,NA,-17.4667,16.3333,66.81,92,100,4.27,moderate rain
305,Conceicao Do Araguaia,BR,-8.2578,-49.2647,68.86,95,87,1.66,overcast clouds
306,Oyem,GA,1.5995,11.5793,67.41,98,87,3.31,overcast clouds
307,Manggar,ID,-2.8833,108.2667,79.52,81,100,3.33,overcast clouds
308,Limbang,MY,4.75,115.0,84.31,67,99,1.23,overcast clouds
309,Nehe,CN,48.4833,124.8333,-18.33,85,100,4.68,overcast clouds
310,Mehamn,NO,71.0357,27.8492,30.15,80,20,16.11,few clouds
311,Port Macquarie,AU,-31.4333,152.9167,69.89,78,99,11.45,overcast clouds
312,Kjollefjord,NO,70.9457,27.3465,32.05,80,20,16.11,few clouds
313,Hokitika,NZ,-42.7167,170.9667,69.19,62,100,8.52,overcast clouds
314,Laguna,US,38.421,-121.4238,50.29,68,0,11.5,clear sky
315,Rocha,UY,-34.4833,-54.3333,66.29,93,0,8.99,clear sky
316,Ossora,RU,59.2353,163.0719,-10.73,83,76,5.35,broken clouds
317,Ketchikan,US,55.3422,-131.6461,43.27,87,100,19.57,moderate rain
318,Yangambi,CD,0.8102,24.4336,75.72,63,100,2.06,overcast clouds
319,Jardim,BR,-21.4803,-56.1381,71.33,93,32,2.91,scattered clouds
320,Iqaluit,CA,63.7506,-68.5145,-7.31,76,100,0.0,light snow
321,Bouna,CI,9.2667,-3.0,73.4,21,77,5.64,broken clouds
322,Tazovskiy,RU,67.4667,78.7,-28.5,86,6,9.1,clear sky
323,Campos Novos,BR,-27.4017,-51.225,62.42,95,5,6.53,clear sky
324,Nemuro,JP,43.3236,145.575,33.58,92,97,16.84,overcast clouds
325,Alyangula,AU,-13.8483,136.4192,86.58,64,100,8.77,overcast clouds
326,Asfi,MA,32.2994,-9.2372,51.17,73,0,17.0,clear sky
327,Skopelos,GR,39.1247,23.7247,57.22,75,60,24.96,broken clouds
328,Coihaique,CL,-45.5752,-72.0662,69.75,52,0,2.3,clear sky
329,Sault Sainte Marie,CA,46.5168,-84.3333,21.76,79,100,16.11,light snow
330,Ruy Barbosa,BR,-12.2839,-40.4939,69.31,95,100,2.48,overcast clouds
331,Vacaria,BR,-28.5122,-50.9339,61.07,97,1,7.47,clear sky
332,Imeni Poliny Osipenko,RU,52.4201,136.4853,-16.8,91,100,8.41,overcast clouds
333,Yaan,NG,7.3833,8.5667,77.47,23,57,4.45,broken clouds
334,Santa Lucia,ES,27.9117,-15.5407,56.52,72,75,23.02,broken clouds
335,Ancona,IT,43.55,13.1667,40.39,69,20,3.0,few clouds
336,Vardo,NO,70.3705,31.1107,24.78,80,100,14.97,overcast clouds
337,Kismayo,SO,-0.3582,42.5454,76.86,82,13,19.35,few clouds
338,Kahului,US,20.8947,-156.47,82.42,70,40,10.0,scattered clouds
339,Nador,MA,35.174,-2.9287,57.45,62,20,23.02,few clouds
340,Balsta,SE,59.5671,17.5278,30.87,91,79,4.79,broken clouds
341,Padilla,CO,3.2204,-76.3139,69.37,89,100,1.88,overcast clouds
342,Pelotas,BR,-31.7719,-52.3425,72.18,85,79,8.05,broken clouds
